CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
86934L103,,SUSTAINABLE DEVELP ACQU I CO,614227,-730131,6.01M,-7.15M,-54.3%,0.91%
G8T86C105,,SUPERNOVA PARTNERS ACQUISTN,0,-712424,0,-7.33M,CLOSE,0%
98880C102,,Z-WORK ACQUISITION CORP,0,-801927,0,-7.81M,CLOSE,0%
G41522122,,THE GROWTH FOR GOOD ACQU COR,0,-800000,0,-7.98M,CLOSE,0%
549498103,LCID,LUCID GROUP INC,0,-211500,0,-8.05M,CLOSE,0%
G36427105,,FORTRESS CAPITAL ACQUISITION,133332,-828840,1.32M,-8.19M,-86.1%,0.2%
G71707106,,PONTEM CORPORATION,0,-849766,0,-8.33M,CLOSE,0%
12520T102,,CF ACQUISITION CORP IV,0,-850300,0,-8.33M,CLOSE,0%
30320F205,,FTAC ZEUS ACQUISITION COR,0,-900000,0,-9M,CLOSE,0%
948596AC5,,WEIBO CORP,0,-9763000,0,-9.57M,CLOSE,0%
44487N109,,HUMANCO ACQUISITION CORP,756755,-1008219,7.43M,-9.9M,-57.1%,1.1%
26829T100,,ECP ENVIRONMENTAL GW OPT COR,0,-1005341,0,-9.91M,CLOSE,0%
G33032106,AAC,ARES ACQUISITION CORPORATION,0,-1023498,0,-9.97M,CLOSE,0%
739190106,,POWER & DIGITAL INFRA ACQ CO,0,-916796,0,-10.04M,CLOSE,0%
73919C209,,POWER & DIGITAL INFRASTRUCTU,0,-1000000,0,-10.18M,CLOSE,0%
G44898107,,H I G ACQUISITION CORP,963579,-1034051,9.49M,-10.19M,-51.8%,1.4%
53069QAB5,,LIBERTY LATIN AMERICA LTD,0,-11115000,0,-10.98M,CLOSE,0%
29429X109,,EPIPHANY TECHNOLOGY ACQUISIT,182212,-1180674,1.79M,-11.59M,-86.6%,0.27%
05467C207,,AXONPRIME INFRSTCTR AQSTN CO,0,-1485000,0,-14.73M,CLOSE,0%
66573W107,,NORTHERN STAR INVSTMNT CORP,924712,-2376917,9.04M,-23.25M,-72%,1.4%
20607U207,CNDAU,CONCORD ACQUISITION CORP II,0,-2475000,0,-25.47M,CLOSE,0%
42600H207,,HENNESSY CAPITAL INVST CORP,0,-2970000,0,-31.08M,CLOSE,0%
Total,,,,,658.2M,-407.52M,-37.5%,100%
