"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001410833","Night Owl Capital","John Kim","Night Owl Capital Management, LLC","","https://nightowlcapital.com/"
"0001680843","Nightview Capital","Arne Alsin","Nightview Capital, LLC","","https://www.nightviewcapital.com/"
"0001633799","Nishkama Capital","Ravee Mehta","Nishkama Capital, LLC","","https://www.nishkama.com/"
"0001055964","Nomura Asset Management","Shoichi Ohkoshi","Nomura Asset Management Co Ltd","","https://global.nomura-am.co.jp/"
"0002033334","North of South Capital","Matt Linsey","North of South Capital LLP","","https://www.northofsouth.com/"
"0002065606","Notable Capital","Glenn Solomon & Jeff Richards","Notable Capital Management, L.L.C.","","https://www.notablecap.com/"
"0001103887","Nwi","Hari Hariharan","Nwi Management LP","",""
"0001803054","NWK","Theo Rabe","NWK Group, Inc.","","https://www.nwkgroup.com/"
"0001661762","Oak Grove","Mark Visnic","Oak Grove Capital LLC","","http://oakgrovecapital.net/"
"0002078353","October Effect","Frank Tehel","October Effect Ltd","","https://www.financialplanning-vab.com/"
"0001619083","Ogborne Capital","Mike Ogborne","Ogborne Capital Management, LLC","","https://www.ogbornecap.com/"
"0000947996","Olstein Funds","Robert Olstein","Olstein Capital Management, L.P.","","https://www.olsteinfunds.com/"
"0001728278","One Madison Group","Omar Asali","One Madison Group LLC","","https://www.onemadisongroup.com/"
"0001055951","OrbiMed","Samuel Isaly","OrbiMed Advisors LLC","","https://www.orbimed.com/"
"0001291318","Oversea-Chinese Banking Corp","Helen Wong","Oversea-Chinese Banking Corp Ltd","","https://www.ocbc.com/"
"0001323414","Pacific Heights","Michael Cuggino","Pacific Heights Asset Management LLC","","https://www.permanentportfoliofunds.com/"
"0001919332","ParaFi Capital","Ben Forman","ParaFi Capital LP","","https://parafi.com/"
"0001037353","Pathway Capital Management","Douglas Le Bon","Pathway Capital Management, LP","","https://pathwaycapital.com/"
"0001389958","PEAK6","Matt Hulsizer","PEAK6 LLC","","https://www.peak6.com/"
"0001224962","Perceptive Advisors","Joseph Edelman","Perceptive Advisors LLC","","https://www.perceptivelife.com/"
"0002080247","Pinpoint Asset Management","Wang Qiang","Pinpoint Asset Management (Singapore) Pte. Ltd.","","https://www.pinpointfund.com/"
"0002059321","PKO TFI","Rafał Madej","PKO Investment Management Joint-Stock Co","","https://www.pkotfi.pl/"
"0001509842","PointState Capital","Zach Schreiber","Pointstate Capital LP","","https://www.bcaresearch.com/marketing/zach-schreiber"
"0001326389","Polar Asset Management","Bill Peckford","Polar Asset Management Partners Inc.","","https://polaramp.com/"
"0001034524","Polen Capital","Stan Moss","Polen Capital Management, LLC","","https://www.polencapital.com/"
"0001350290","Portolan","George McCabe","Portolan Capital Management, LLC","","https://portolan.com/"
"0001448793","Prime Capital","Liu Yijun","Prime Capital Management Company Limited","","https://primecapitalgphk.com/"
"0001795097","Privium Fund","Clayton Heijman","Privium Fund Management B.V.","","https://www.priviumfund.com/"
"0001842526","Proem","Greg Pearson","Proem Advisors LLC","","https://www.proemasset.com/"
"0001129919","ProFunds","Michael Sapir","Profund Advisors LLC","","https://www.profunds.com/"
"0001357955","ProShares Advisors","Michael Sapir","ProShare Advisors LLC","","https://www.proshares.com/"
"0001844250","Purus Wealth Management","Mark Larsen","Purus Wealth Management, LLC","","https://www.puruswealthmanagement.com/"
"0001027796","Pzena Investment Management","Richard Pzena","Pzena Investment Management LLC","","https://www.pzena.com/"
"0001996454","QRG Capital Management","Brandon Thomas","QRG Capital Management, Inc.","","https://www.envestnet.com/qrg/"
"0002067954","QTR Family","Desaree Tatum","QTR Family Wealth, LLC","","https://www.qtrfamily.com/"
"0001929662","Quantum Private","Jim Perkins","Quantum Private Wealth, LLC ","","https://www.quantumprivatewealth.com/"
"0001346824","RA Capital Management","Peter Kolchinsky","RA Capital Management, L.P.","","https://www.racap.com/"
"0002009539","Rakuten Securities","Yuji Kusunoki","Rakuten Securities, Inc.","","https://global.rakuten.com/"
"0002055400","Ranmore","Sean Peche","Ranmore Fund Management Ltd","","https://www.ranmore.com/"
"0001912187","RDST Capital","Brian David Pirie","RDST Capital LLC","","https://readestreet.com/"
"0001115418","RhumbLine Advisers","Denise D'Entremont","RhumbLine Advisers","","https://www.rhumbline.com/"
"0001614704","RiverPark Capital","Mordecai Alan Schaja","Riverpark Capital Management LLC","","https://riverparkvc.com/"
"0001105838","Robotti Value Investors","Robert Robotti","Robotti Robert","","https://www.robotti.com/"
"0001739439","Rockefeller Capital Management","Gregory Fleming","Rockefeller Capital Management L.P.","","https://www.rockco.com/"
"0000918893","Rosenblum-Silverman-Sutton SF","Barbara Rosenblum","Rosenblum Silverman Sutton S F Inc /CA","","https://www.rssic.com/"
"0000906304","Royce Investment Partners","Chuck Royce","Royce & Associates LP","","https://www.royceinvest.com/"
"0001666664","RPg","Matthew Vera","RPg Investment Advisory, LLC","","https://www.rpgadvisory.com/"
"0001841015","Rutherford Investment Management","William Rutherford","WD Rutherford LLC","","https://rutherfordinvestment.com/"
"0001846544","RWQ","Robert William Quinlan","RWQ Financial Management Services, Inc.","","https://www.qcapitalsolutions.com/"
"0001510281","Saba Capital","Boaz Weinstein","Saba Capital Management, L.P.","","https://www.sabacapital.com/"
"0001421097","Samlyn Capital","Robert Pohly","Samlyn Capital, LLC","","https://www.samlyncapital.com/"
"0001508097","Sanders Capital","Lewis Sanders","Sanders Capital, LLC","","https://www.sanderscapital.com/"
