CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
253393102,DKS,DICKS SPORTING GOODS INC,6378,4516,1.45M,1.02M,+242.5%,0.01%
78410G104,SBAC,SBA COMMUNICATIONS CORP,11461,5607,2.02M,989.34K,+95.8%,0.02%
739276103,POWI,POWER INTEGRATIONS INC,356636,11732,29.87M,982.63K,+3.4%,0.31%
00217D100,ASTS,AST SPACEMOBILE INC,10975,10975,975.18K,975.18K,NEW,0.01%
032095101,APH,AMPHENOL CORP,133909,5483,23.61M,966.79K,+4.3%,0.24%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,21618,3396,6.07M,954.24K,+18.6%,0.06%
122017106,BURL,BURLINGTON STORES INC,7478,2969,2.37M,940.58K,+65.8%,0.02%
12514G108,CDW,CDW CORP,47395,6341,6.67M,891.8K,+15.4%,0.07%
504922105,LH,LABCORP HOLDINGS INC,6692,3120,1.87M,873.6K,+87.3%,0.02%
G0176J109,ALLE,ALLEGION PLC,9618,5791,1.35M,813.54K,+151.3%,0.01%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,57395,22780,1.94M,771.79K,+65.8%,0.02%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,240257,24291,7.26M,733.61K,+11.2%,0.07%
37940X102,GPN,GLOBAL PMTS INC,15866,10093,1.15M,732.33K,+174.8%,0.01%
260557103,DOW,DOW HLDGS INC,130422,24792,3.57M,678.31K,+23.5%,0.04%
571903202,MAR,MARRIOTT INTL INC NEW,23508,1792,8.71M,664.07K,+8.3%,0.09%
172908105,CTAS,CINTAS CORP,16704,3904,2.84M,663.99K,+30.5%,0.03%
78467J100,SSNC,SS&C TECH HLDGS,15820,10426,981.63K,646.93K,+193.3%,0.01%
872540109,TJX,TJX COS INC NEW,388349,4246,58.83M,643.27K,+1.1%,0.61%
67077M108,NTR,NUTRIEN LTD,28779,10059,1.81M,633.5K,+53.7%,0.02%
65473P105,NI,NISOURCE INC,51562,13302,2.45M,632.5K,+34.8%,0.03%
496902404,KGC,KINROSS GOLD CORP,95067,26551,2.25M,628.43K,+38.8%,0.02%
76155X100,RVMD,REVOLUTION MEDICINES INC,2917,2917,546.25K,546.25K,NEW,<.01%
192446102,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,90437,13985,3.5M,541.62K,+18.3%,0.04%
315616102,FFIV,F5 INC,4175,1299,1.74M,540.33K,+45.2%,0.02%
713448108,PEP,PEPSICO INC,442064,3711,59.86M,502.47K,+0.8%,0.62%
75734B100,RDDT,REDDIT INC,11816,2870,2.05M,498.21K,+32.1%,0.02%
526107107,LII,LENNOX INTL INC,6274,852,3.59M,488.13K,+15.7%,0.04%
35137L204,FOX,FOX CORP,32762,10270,1.53M,481.01K,+45.7%,0.02%
209115104,ED,CONSOLIDATED EDISON INC,105629,4191,11.69M,463.64K,+4.1%,0.12%
882508104,TXN,TEXAS INSTRS INC,100365,1461,29.91M,435.46K,+1.5%,0.31%
H50430232,LOGI,LOGITECH INTL S A,75729,4526,7.11M,424.96K,+6.4%,0.07%
92936U109,WPC,WP CAREY INC,8580,5892,613.49K,421.29K,+219.2%,<.01%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,433610,4453,39.93M,410.06K,+1%,0.41%
