CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
72815L107,PLTK,Playtika Holding Corp,173417,-62473,2.01M,-724.69K,-26.5%,0.01%
00437E102,ACCD,Accolade Inc,5683906,-54806,76.56M,-738.24K,-1%,0.51%
H8300N127,STMN.SW,Straumann Holding AG,41926,-4841,6.8M,-785.37K,-10.4%,0.05%
369604301,GE,General Electric Co,21766,-7185,2.39M,-789.27K,-24.8%,0.02%
M78673114,PERI,Perion Network Ltd,52388,-26051,1.61M,-798.98K,-33.2%,0.01%
20451W101,CMPS,Compass Pathways Plc,2439580,-100507,20.2M,-832.2K,-4%,0.13%
60741F104,MBLY,Mobileye Global Inc,45239,-22948,1.74M,-881.66K,-33.7%,0.01%
75886F107,REGN,Regeneron Pharmaceuticals Inc,32253,-1338,23.18M,-961.41K,-4%,0.15%
M25133105,CGNT,Cognyte Software Ltd,464284,-161664,2.83M,-984.53K,-25.8%,0.02%
L8681T102,SPOT,Spotify Technology SA,12914,-6238,2.07M,-1M,-32.6%,0.01%
M2197Q107,CLBT,Cellebrite DI Ltd,363604,-140894,2.62M,-1.01M,-27.9%,0.02%
47215P106,JD,JD.com Inc,114573,-30040,3.91M,-1.03M,-20.8%,0.03%
760273102,RPTX,Repare Therapeutics Inc,2628073,-109251,27.81M,-1.16M,-4%,0.18%
F24571451,DSY.PA,Dassault Systemes SE,362196,-27449,16.06M,-1.22M,-7%,0.11%
14167L103,CDNA,CareDx Inc,6638350,-161089,56.43M,-1.37M,-2.4%,0.37%
016255101,ALGN,Align Technology Inc,7915,-4279,2.8M,-1.51M,-35.1%,0.02%
G85158106,STNE,StoneCo Ltd,2240437,-121006,28.54M,-1.54M,-5.1%,0.19%
J35759125,6301.T,Komatsu Ltd,471288,-59900,12.67M,-1.61M,-11.3%,0.08%
922475108,VEEV,Veeva Systems Inc,200394,-8219,39.62M,-1.63M,-3.9%,0.26%
