CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91167Q100,BNO,UNITED STS BRENT OIL FD LP,0,-72576,0,-1.93M,CLOSE,0%
910047109,UAL,UNITED AIRLS HLDGS INC,0,-43866,0,-1.94M,CLOSE,0%
742718109,PG,PROCTER AND GAMBLE CO,0,-13815,0,-2.05M,CLOSE,0%
907818108,UNP,UNION PAC CORP,0,-10641,0,-2.14M,CLOSE,0%
00751Y106,AAP,ADVANCE AUTO PARTS INC,0,-17668,0,-2.15M,CLOSE,0%
136385101,CNQ,CANADIAN NAT RES LTD,10069,-38631,566.48K,-2.17M,-79.3%,0.02%
565788106,MARA,MARATHON DIGITAL HOLDINGS IN,26991,-158355,374.1K,-2.19M,-85.4%,0.01%
74347G390,SRTY,PROSHARES TR,0,-46621,0,-2.24M,CLOSE,0%
254709108,DFS,DISCOVER FINL SVCS,0,-23924,0,-2.36M,CLOSE,0%
253393102,DKS,DICKS SPORTING GOODS INC,0,-17059,0,-2.42M,CLOSE,0%
60770K107,MRNA,MODERNA INC,0,-16384,0,-2.52M,CLOSE,0%
98149E303,GLDM,WORLD GOLD TR,0,-65607,0,-2.57M,CLOSE,0%
74347W130,SVXY,PROSHARES TR II,17167,-35229,1.45M,-2.98M,-67.2%,0.05%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-29061,0,-3.81M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-51198,0,-3.89M,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-153019,0,-4.17M,CLOSE,0%
912318300,,UNITED STS NAT GAS FD LP,0,-649626,0,-4.51M,CLOSE,0%
025816109,AXP,AMERICAN EXPRESS CO,0,-32952,0,-5.44M,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-11587,0,-5.48M,CLOSE,0%
92189H607,OIH,VANECK ETF TRUST,0,-26028,0,-7.21M,CLOSE,0%
47215P106,JD,JD.COM INC,220305,-267710,7.52M,-9.14M,-54.9%,0.25%
056752108,BIDU,BAIDU INC,0,-61445,0,-9.27M,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,0,-55205,0,-10.11M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-29846,0,-10.31M,CLOSE,0%
74347X831,TQQQ,PROSHARES TR,357594,-254541,14.66M,-10.44M,-41.6%,0.49%
25459W862,SPXL,DIREXION SHS ETF TR,0,-158317,0,-11.59M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,85860,-83129,36.32M,-35.17M,-49.2%,1.2%
46625H100,JPM,JPMORGAN CHASE & CO,0,-283392,0,-36.93M,CLOSE,0%
Total,,,,,3.01B,2.37B,+400.7%,100%
